Namespace,Deployment,Container,CPU usage,Memory usage,Disk read,Disk write,Network in,Network out,Time
observability,N/A,alertmanager,0.0003077355186200958,42532864,0,0,N/A,N/A,15:15:39
kube-system,N/A,calico-kube-controllers,0.0016788422874851802,60624896,0,0,N/A,N/A,15:15:39
kube-system,N/A,calico-node,0.03141375545851523,140075008,0,0,N/A,N/A,15:15:39
robot-shop,N/A,cart,0.00020320035772459396,73674752,0,0,N/A,N/A,15:15:39
robot-shop,N/A,catalogue,0.0003352070736228055,40103936,0,0,N/A,N/A,15:15:39
chaos-testing,N/A,chaos-daemon,0.000015878770301623912,61284352,0,0,N/A,N/A,15:15:39
chaos-testing,N/A,chaos-dashboard,0.0021328954446363374,108081152,0,0,N/A,N/A,15:15:39
chaos-testing,N/A,chaos-mesh,0.00041129306875522116,21954560,0,0,N/A,N/A,15:15:39
chaos-testing,N/A,chaos-mesh,0.00041129306875522116,21954560,0,0,N/A,N/A,15:15:39
chaos-testing,N/A,chaos-mesh,0.00041129306875522116,21954560,0,0,N/A,N/A,15:15:39
observability,N/A,config-reloader,0.0000013614866478765941,2674688,0,0,N/A,N/A,15:15:39
observability,N/A,config-reloader,0.0000013614866478765941,2674688,0,0,N/A,N/A,15:15:39
kube-system,N/A,coredns,0.0015003480624523483,57704448,0,0,N/A,N/A,15:15:39
robot-shop,N/A,dispatch,0.003943540580207922,16805888,0,0,N/A,N/A,15:15:39
observability,N/A,grafana,0.002462341059898156,154996736,0,0,N/A,N/A,15:15:39
observability,N/A,grafana-sc-dashboard,0.000009523809523825586,92717056,0,0,N/A,N/A,15:15:39
observability,N/A,grafana-sc-datasources,0.000009516491311034269,87379968,0,0,N/A,N/A,15:15:39
kube-system,N/A,hostpath-provisioner,0.0008819148278632772,37220352,0,0,N/A,N/A,15:15:39
observability,N/A,kube-prometheus-stack,0.0002081090123794687,72945664,0,0,N/A,N/A,15:15:39
observability,N/A,kube-state-metrics,0.0010831124383451284,48263168,0,0,N/A,N/A,15:15:39
robot-shop,N/A,load,0.10066324512581944,129540096,0,0,N/A,N/A,15:15:39
observability,N/A,loki,0.010647033953427865,177188864,0,102706.38740731103,N/A,N/A,15:15:39
kube-system,N/A,metrics-server,0.003317877063496533,59895808,0,0,N/A,N/A,15:15:39
robot-shop,N/A,mongodb,0.017891818655549768,203444224,0,3735.278791036998,N/A,N/A,15:15:39
robot-shop,N/A,mysql,0.0007198044324357887,772239360,0,0,N/A,N/A,15:15:39
default,N/A,nginx,0,15265792,0,0,N/A,N/A,15:15:39
observability,N/A,node-exporter,0.001119420932261333,23969792,0,0,N/A,N/A,15:15:39
robot-shop,N/A,payment,0.00002297402278409767,50098176,0,0,N/A,N/A,15:15:39
observability,N/A,prometheus,0.048250144983568596,1239629824,0,32305.586700173986,N/A,N/A,15:15:39
observability,N/A,promtail,0.08551844923208192,154247168,0,0,N/A,N/A,15:15:39
robot-shop,N/A,rabbitmq,0.003013117996044855,126472192,0,0,N/A,N/A,15:15:39
robot-shop,N/A,ratings,0.001156443110009455,90517504,0,0,N/A,N/A,15:15:39
robot-shop,N/A,shipping,0.0028335749401234636,566755328,0,516.324215303164,N/A,N/A,15:15:39
observability,N/A,tempo,0.000639023667543241,104566784,0,0,N/A,N/A,15:15:39
observability,N/A,tempo-query,0.00028251811594202995,53096448,0,0,N/A,N/A,15:15:39
robot-shop,N/A,user,0.09625924513915363,176381952,0,0,N/A,N/A,15:15:39
robot-shop,N/A,web,0.05513954068205116,25387008,0,0,N/A,N/A,15:15:39
default,N/A,N/A,0,15790080,0,0,0,0,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
kube-system,N/A,N/A,0.001724972834415308,61140992,0,0,141.9156988124755,37.77893775283831,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
kube-system,N/A,N/A,0.001724972834415308,61140992,0,0,141.9156988124755,37.77893775283831,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
chaos-testing,N/A,N/A,0.000013859005189216363,61767680,0,0,0,0,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
chaos-testing,N/A,N/A,0.000013859005189216363,61767680,0,0,0,0,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
kube-system,N/A,N/A,0.001724972834415308,61140992,0,0,141.9156988124755,37.77893775283831,15:15:39
chaos-testing,N/A,N/A,0.000013859005189216363,61767680,0,0,0,0,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
kube-system,N/A,N/A,0.001724972834415308,61140992,0,0,141.9156988124755,37.77893775283831,15:15:39
chaos-testing,N/A,N/A,0.000013859005189216363,61767680,0,0,0,0,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
chaos-testing,N/A,N/A,0.000013859005189216363,61767680,0,0,0,0,15:15:39
kube-system,N/A,N/A,0.001724972834415308,61140992,0,0,141.9156988124755,37.77893775283831,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
robot-shop,N/A,N/A,0.0002551534433617946,50614272,0,0,4.089252377989155,6.874685157199158,15:15:39
observability,N/A,N/A,0.0010805328197721117,48795648,0,0,2002.14384926626,14481.18847756507,15:15:39
observability,N/A,alertmanager,0.00022268080513048513,42786816,0,0,N/A,N/A,15:16:39
kube-system,N/A,calico-kube-controllers,0.0015888689407540396,60653568,0,0,N/A,N/A,15:16:39
kube-system,N/A,calico-node,0.026035516285516258,140148736,0,0,N/A,N/A,15:16:39
robot-shop,N/A,cart,0.19973118092722592,80871424,0,0,N/A,N/A,15:16:39
robot-shop,N/A,catalogue,0.1993029280088103,46546944,0,0,N/A,N/A,15:16:39
chaos-testing,N/A,chaos-daemon,0.000025610385377910085,62603264,0,0,N/A,N/A,15:16:39
chaos-testing,N/A,chaos-dashboard,0.0023896258573247336,108670976,0,11438.991334346381,N/A,N/A,15:16:39
chaos-testing,N/A,chaos-mesh,0.0011566157419816,26361856,0,0,N/A,N/A,15:16:39
chaos-testing,N/A,chaos-mesh,0.0011566157419816,26361856,0,0,N/A,N/A,15:16:39
chaos-testing,N/A,chaos-mesh,0.0011566157419816,26361856,0,0,N/A,N/A,15:16:39
observability,N/A,config-reloader,0,2691072,0,0,N/A,N/A,15:16:39
observability,N/A,config-reloader,0,2691072,0,0,N/A,N/A,15:16:39
kube-system,N/A,coredns,0.0010992649734371614,58376192,0,0,N/A,N/A,15:16:39
robot-shop,N/A,dispatch,0.19927558958901875,23846912,0,0,N/A,N/A,15:16:39
observability,N/A,grafana,0.00312548895899055,153571328,0,0,N/A,N/A,15:16:39
observability,N/A,grafana-sc-dashboard,0.0019324139556812737,93032448,0,0,N/A,N/A,15:16:39
observability,N/A,grafana-sc-datasources,0.00022748383784162136,87408640,0,0,N/A,N/A,15:16:39
kube-system,N/A,hostpath-provisioner,0.0007149815600862872,37269504,3562.7304989214394,0,N/A,N/A,15:16:39
observability,N/A,kube-prometheus-stack,0.00016671854572620739,73048064,0,0,N/A,N/A,15:16:39
observability,N/A,kube-state-metrics,0.0008438706563706536,48267264,0,0,N/A,N/A,15:16:39
robot-shop,N/A,load,0.19907156523974068,147386368,0,0,N/A,N/A,15:16:39
observability,N/A,loki,0.004598275107805721,179863552,0,29438.16011499281,N/A,N/A,15:16:39
kube-system,N/A,metrics-server,0.0032999202869669294,59949056,0,0,N/A,N/A,15:16:39
robot-shop,N/A,mongodb,0.1987247170293041,209317888,4299.225553884997,3602.0538424441856,N/A,N/A,15:16:39
robot-shop,N/A,mysql,0.19909044466104261,779173888,0,0,N/A,N/A,15:16:39
default,N/A,nginx,0,15265792,0,0,N/A,N/A,15:16:39
observability,N/A,node-exporter,0.00004667124436391535,23678976,0,0,N/A,N/A,15:16:39
robot-shop,N/A,payment,0.19917666295574726,57126912,0,0,N/A,N/A,15:16:39
observability,N/A,prometheus,0.04000242324427243,1241178112,0,22837.276677933365,N/A,N/A,15:16:39
observability,N/A,promtail,0.02607183613368038,156364800,0,0,N/A,N/A,15:16:39
robot-shop,N/A,rabbitmq,0.19813789974494797,133492736,0,0,N/A,N/A,15:16:39
robot-shop,N/A,ratings,0.154266844438271,97624064,0,0,N/A,N/A,15:16:39
robot-shop,N/A,shipping,0.19962431549738474,573939712,0,502.90990349433974,N/A,N/A,15:16:39
observability,N/A,tempo,0.0010225010912265381,104603648,0,0,N/A,N/A,15:16:39
observability,N/A,tempo-query,0.000276646584814053,53116928,0,0,N/A,N/A,15:16:39
robot-shop,N/A,user,0.19953578934355296,156143616,0,0,N/A,N/A,15:16:39
robot-shop,N/A,web,0.19953843156701623,34385920,0,0,N/A,N/A,15:16:39
default,N/A,N/A,0,15790080,0,0,0,0,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
kube-system,N/A,N/A,0.001508353589120336,61161472,0,0,109.17188319865674,26.892249973764297,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
kube-system,N/A,N/A,0.001508353589120336,61161472,0,0,109.17188319865674,26.892249973764297,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
chaos-testing,N/A,N/A,0.000023384921045727735,63086592,0,0,0,0,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
chaos-testing,N/A,N/A,0.000023384921045727735,63086592,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
kube-system,N/A,N/A,0.001508353589120336,61161472,0,0,109.17188319865674,26.892249973764297,15:16:39
chaos-testing,N/A,N/A,0.000023384921045727735,63086592,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
kube-system,N/A,N/A,0.001508353589120336,61161472,0,0,109.17188319865674,26.892249973764297,15:16:39
chaos-testing,N/A,N/A,0.000023384921045727735,63086592,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
chaos-testing,N/A,N/A,0.000023384921045727735,63086592,0,0,0,0,15:16:39
kube-system,N/A,N/A,0.001508353589120336,61161472,0,0,109.17188319865674,26.892249973764297,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
robot-shop,N/A,N/A,0.19950279625596046,57643008,0,0,0,0,15:16:39
observability,N/A,N/A,0.0008793363499245856,48799744,0,0,1971.9076889895396,12989.485603364607,15:16:39
observability,N/A,alertmanager,0.00023122109736282962,42807296,0,0,N/A,N/A,15:17:39
kube-system,N/A,calico-kube-controllers,0.001611026828489304,60682240,0,0,N/A,N/A,15:17:39
kube-system,N/A,calico-node,0.026012956831784083,139505664,0,0,N/A,N/A,15:17:39
robot-shop,N/A,cart,0.1368243072206221,80916480,0,0,N/A,N/A,15:17:39
robot-shop,N/A,catalogue,0.19862985552869755,46727168,0,0,N/A,N/A,15:17:39
chaos-testing,N/A,chaos-daemon,0.000011208785672905688,62697472,0,0,N/A,N/A,15:17:39
chaos-testing,N/A,chaos-dashboard,0.0021116932603000792,108400640,0,0,N/A,N/A,15:17:39
chaos-testing,N/A,chaos-mesh,0.00022260000000000612,26361856,0,0,N/A,N/A,15:17:39
chaos-testing,N/A,chaos-mesh,0.00022260000000000612,26361856,0,0,N/A,N/A,15:17:39
chaos-testing,N/A,chaos-mesh,0.00022260000000000612,26361856,0,0,N/A,N/A,15:17:39
observability,N/A,config-reloader,0.000020078833002055022,2727936,0,137.99144291345212,N/A,N/A,15:17:39
observability,N/A,config-reloader,0.000020078833002055022,2727936,0,137.99144291345212,N/A,N/A,15:17:39
kube-system,N/A,coredns,0.0010992117568470246,58626048,0,0,N/A,N/A,15:17:39
robot-shop,N/A,dispatch,0.19960573827851644,24801280,0,0,N/A,N/A,15:17:39
observability,N/A,grafana,0.0029321792103639823,153571328,0,0,N/A,N/A,15:17:39
observability,N/A,grafana-sc-dashboard,0.0031884411850183797,92815360,0,0,N/A,N/A,15:17:39
observability,N/A,grafana-sc-datasources,0.00022448105122833866,87437312,0,0,N/A,N/A,15:17:39
kube-system,N/A,hostpath-provisioner,0.0009871608167147145,37228544,0,0,N/A,N/A,15:17:39
observability,N/A,kube-prometheus-stack,0.00025731074063951463,73052160,0,0,N/A,N/A,15:17:39
observability,N/A,kube-state-metrics,0.00110289295106984,48291840,0,0,N/A,N/A,15:17:39
robot-shop,N/A,load,0.19940475585751474,151707648,0,0,N/A,N/A,15:17:39
observability,N/A,loki,0.005280457752422111,182956032,2212.335009958478,34706.005468723626,N/A,N/A,15:17:39
kube-system,N/A,metrics-server,0.002150784514416647,59969536,0,0,N/A,N/A,15:17:39
robot-shop,N/A,mongodb,0.1986697040752724,209219584,0,1823.6324240895194,N/A,N/A,15:17:39
robot-shop,N/A,mysql,0.19890705495398955,779173888,0,0,N/A,N/A,15:17:39
default,N/A,nginx,0,15265792,0,0,N/A,N/A,15:17:39
observability,N/A,node-exporter,0.0017467098762992544,24240128,0,0,N/A,N/A,15:17:39
robot-shop,N/A,payment,0.1991761872250039,57135104,0,0,N/A,N/A,15:17:39
observability,N/A,prometheus,0.03893396419886931,1249951744,0,24360.237892948167,N/A,N/A,15:17:39
observability,N/A,promtail,0.02927458565020008,156246016,0,0,N/A,N/A,15:17:39
robot-shop,N/A,rabbitmq,0.13572466099915823,133509120,0,0,N/A,N/A,15:17:39
robot-shop,N/A,ratings,0.19923546029167682,97624064,0,0,N/A,N/A,15:17:39
robot-shop,N/A,shipping,0.19947269522970318,573980672,0,487.74679082616876,N/A,N/A,15:17:39
observability,N/A,tempo,0.0005864097231249144,104636416,0,0,N/A,N/A,15:17:39
observability,N/A,tempo-query,0.0002863134349224094,53055488,0,0,N/A,N/A,15:17:39
robot-shop,N/A,user,0.19973177780481882,81453056,0,0,N/A,N/A,15:17:39
robot-shop,N/A,web,0.19928994162249208,32698368,0,0,N/A,N/A,15:17:39
default,N/A,N/A,0,15790080,0,0,0,0,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
kube-system,N/A,N/A,0.0018811457602192566,61202432,0,0,114.67194965621721,29.134133550868196,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
kube-system,N/A,N/A,0.0018811457602192566,61202432,0,0,114.67194965621721,29.134133550868196,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
chaos-testing,N/A,N/A,0.00001116472973358928,63180800,0,0,0,0,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
chaos-testing,N/A,N/A,0.00001116472973358928,63180800,0,0,0,0,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
kube-system,N/A,N/A,0.0018811457602192566,61202432,0,0,114.67194965621721,29.134133550868196,15:17:39
chaos-testing,N/A,N/A,0.00001116472973358928,63180800,0,0,0,0,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
kube-system,N/A,N/A,0.0018811457602192566,61202432,0,0,114.67194965621721,29.134133550868196,15:17:39
chaos-testing,N/A,N/A,0.00001116472973358928,63180800,0,0,0,0,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
chaos-testing,N/A,N/A,0.00001116472973358928,63180800,0,0,0,0,15:17:39
kube-system,N/A,N/A,0.0018811457602192566,61202432,0,0,114.67194965621721,29.134133550868196,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
robot-shop,N/A,N/A,0.198860878333739,57651200,0,0,3.5275645952817354,3.5278957015313663,15:17:39
observability,N/A,N/A,0.001085716991854518,48824320,0,0,1921.9512195121952,17398.056115899504,15:17:39
observability,N/A,alertmanager,0.00022002554562114543,42864640,0,0,N/A,N/A,15:18:39
kube-system,N/A,calico-kube-controllers,0.0019046287189574606,60682240,0,0,N/A,N/A,15:18:39
kube-system,N/A,calico-node,0.02280362230362232,139800576,0,0,N/A,N/A,15:18:39
robot-shop,N/A,cart,0.19960272153999345,80142336,0,0,N/A,N/A,15:18:39
robot-shop,N/A,catalogue,0.19976679916713988,46899200,0,0,N/A,N/A,15:18:39
chaos-testing,N/A,chaos-daemon,0.000011145615175368702,62697472,0,0,N/A,N/A,15:18:39
chaos-testing,N/A,chaos-dashboard,0.002080003478412107,108429312,0,0,N/A,N/A,15:18:39
chaos-testing,N/A,chaos-mesh,0.0007660601681555451,24592384,0,0,N/A,N/A,15:18:39
chaos-testing,N/A,chaos-mesh,0.0007660601681555451,24592384,0,0,N/A,N/A,15:18:39
chaos-testing,N/A,chaos-mesh,0.0007660601681555451,24592384,0,0,N/A,N/A,15:18:39
observability,N/A,config-reloader,0.00002138860378108137,2768896,0,135.6156673178161,N/A,N/A,15:18:39
observability,N/A,config-reloader,0.00002138860378108137,2768896,0,135.6156673178161,N/A,N/A,15:18:39
kube-system,N/A,coredns,0.0011637242331590854,58679296,0,0,N/A,N/A,15:18:39
robot-shop,N/A,dispatch,0.19934597871751658,23805952,0,0,N/A,N/A,15:18:39
observability,N/A,grafana,0.0026793190791924272,151093248,0,0,N/A,N/A,15:18:39
observability,N/A,grafana-sc-dashboard,0.002543999999999998,93372416,0,0,N/A,N/A,15:18:39
observability,N/A,grafana-sc-datasources,0.0002953442791504704,87461888,0,0,N/A,N/A,15:18:39
kube-system,N/A,hostpath-provisioner,0.00047288429884344746,37523456,0,0,N/A,N/A,15:18:39
observability,N/A,kube-prometheus-stack,0.00018774697408133027,70983680,0,0,N/A,N/A,15:18:39
observability,N/A,kube-state-metrics,0.0008624562786344125,48295936,0,0,N/A,N/A,15:18:39
robot-shop,N/A,load,0.1994637800943822,145952768,0,0,N/A,N/A,15:18:39
observability,N/A,loki,0.004075107633323894,185122816,0,21882.404701297884,N/A,N/A,15:18:39
kube-system,N/A,metrics-server,0.0033950023495590894,59965440,0,0,N/A,N/A,15:18:39
robot-shop,N/A,mongodb,0.1989452393385551,209240064,0,2566.6840731070497,N/A,N/A,15:18:39
robot-shop,N/A,mysql,0.1996384704137135,779173888,0,0,N/A,N/A,15:18:39
default,N/A,nginx,0,15265792,0,0,N/A,N/A,15:18:39
observability,N/A,node-exporter,0.0011273584905660402,24043520,0,0,N/A,N/A,15:18:39
robot-shop,N/A,payment,0.19904040373331705,57131008,0,0,N/A,N/A,15:18:39
observability,N/A,prometheus,0.03874205508474562,1258119168,0,42460.04842615012,N/A,N/A,15:18:39
observability,N/A,promtail,0.020337129692722267,157343744,0,0,N/A,N/A,15:18:39
robot-shop,N/A,rabbitmq,0.19883666612298154,133488640,0,0,N/A,N/A,15:18:39
robot-shop,N/A,ratings,0.19942951526769803,97624064,0,0,N/A,N/A,15:18:39
robot-shop,N/A,shipping,0.1999288898031954,589705216,0,561.749982856751,N/A,N/A,15:18:39
observability,N/A,tempo,0.00047126806927150574,104656896,0,0,N/A,N/A,15:18:39
observability,N/A,tempo-query,0.00023017632413628472,53055488,0,0,N/A,N/A,15:18:39
robot-shop,N/A,user,0.19943615711924628,75407360,0,0,N/A,N/A,15:18:39
robot-shop,N/A,web,0.19891046404582485,32092160,0,0,N/A,N/A,15:18:39
default,N/A,N/A,0,15790080,0,0,0,0,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
kube-system,N/A,N/A,0.0017202630894429809,61198336,0,0,132.91641850307724,35.68592416120707,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
kube-system,N/A,N/A,0.0017202630894429809,61198336,0,0,132.91641850307724,35.68592416120707,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
chaos-testing,N/A,N/A,0.000009993155149934052,63180800,0,0,0,0,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
chaos-testing,N/A,N/A,0.000009993155149934052,63180800,0,0,0,0,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
kube-system,N/A,N/A,0.0017202630894429809,61198336,0,0,132.91641850307724,35.68592416120707,15:18:39
chaos-testing,N/A,N/A,0.000009993155149934052,63180800,0,0,0,0,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
kube-system,N/A,N/A,0.0017202630894429809,61198336,0,0,132.91641850307724,35.68592416120707,15:18:39
chaos-testing,N/A,N/A,0.000009993155149934052,63180800,0,0,0,0,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
chaos-testing,N/A,N/A,0.000009993155149934052,63180800,0,0,0,0,15:18:39
kube-system,N/A,N/A,0.0017202630894429809,61198336,0,0,132.91641850307724,35.68592416120707,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
robot-shop,N/A,N/A,0.13155922016896648,57647104,0,0,3.855179349648005,6.481171080567661,15:18:39
observability,N/A,N/A,0.0008521677592371823,48828416,0,0,1848.581051236749,13178.031139575975,15:18:39
observability,N/A,alertmanager,0.00024038388589636738,41336832,0,0,N/A,N/A,15:19:40
kube-system,N/A,calico-kube-controllers,0.0023117489444624863,60542976,0,0,N/A,N/A,15:19:40
kube-system,N/A,calico-node,0.025430538565289772,140873728,0,0,N/A,N/A,15:19:40
robot-shop,N/A,cart,0.19970449360900897,80281600,0,0,N/A,N/A,15:19:40
robot-shop,N/A,catalogue,0.1986158559806129,46977024,0,0,N/A,N/A,15:19:40
chaos-testing,N/A,chaos-daemon,0.000042711208491024824,59166720,0,0,N/A,N/A,15:19:40
chaos-testing,N/A,chaos-dashboard,0.001815391084945335,106274816,0,0,N/A,N/A,15:19:40
chaos-testing,N/A,chaos-mesh,0.00045766348773841695,24592384,0,0,N/A,N/A,15:19:40
chaos-testing,N/A,chaos-mesh,0.00045766348773841695,24592384,0,0,N/A,N/A,15:19:40
chaos-testing,N/A,chaos-mesh,0.00045766348773841695,24592384,0,0,N/A,N/A,15:19:40
observability,N/A,config-reloader,0,2768896,0,0,N/A,N/A,15:19:40
observability,N/A,config-reloader,0,2768896,0,0,N/A,N/A,15:19:40
kube-system,N/A,coredns,0.0011013347763347773,58847232,0,0,N/A,N/A,15:19:40
robot-shop,N/A,dispatch,0.19894805556328832,23941120,0,0,N/A,N/A,15:19:40
observability,N/A,grafana,0.0018854228229308405,152182784,0,0,N/A,N/A,15:19:40
