Chaos-daemon Version: version.Info{GitVersion:"chart-2.5.1", GitCommit:"08b173528f315d3a6621b9be5566e74ab9e0d35d", BuildDate:"2023-01-14T02:33:17Z", GoVersion:"go1.18", Compiler:"gc", Platform:"linux/amd64"}
2023-03-17T15:00:33.119Z	INFO	chaos-daemon.daemon-server	chaos-daemon/main.go:80	grant access to /dev/fuse
2023-03-17T15:00:33.127Z	ERROR	chaos-daemon.daemon-server	chaos-daemon/main.go:83	grant access to /dev/fuse	{"error": "fail to find device cgroup", "errorVerbose": "fail to find device cgroup\ngithub.com/chaos-mesh/chaos-mesh/pkg/fusedev.GrantAccess\n\t/home/runner/work/chaos-mesh/chaos-mesh/pkg/fusedev/fusedev_linux.go:60\nmain.main\n\t/home/runner/work/chaos-mesh/chaos-mesh/cmd/chaos-daemon/main.go:81\nruntime.main\n\t/usr/local/go/src/runtime/proc.go:250\nruntime.goexit\n\t/usr/local/go/src/runtime/asm_amd64.s:1571"}
main.main
	/home/runner/work/chaos-mesh/chaos-mesh/cmd/chaos-daemon/main.go:83
runtime.main
	/usr/local/go/src/runtime/proc.go:250
2023-03-17T15:00:33.127Z	INFO	chaos-daemon.daemon-server	chaos-daemon/main.go:86	remount /sys with read-write permission
2023-03-17T15:00:33.193Z	INFO	chaos-daemon.daemon-server	runtime/asm_amd64.s:1571	Starting http endpoint	{"address": "0.0.0.0:31766"}
2023-03-17T15:00:33.193Z	INFO	chaos-daemon.daemon-server	runtime/asm_amd64.s:1571	Starting grpc endpoint	{"address": "0.0.0.0:31767", "runtime": "containerd"}
2023-03-17T15:12:50.041Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58", "request": "target:\"containerd://559cd0415242ce9484b73618242f29ca09c1da4d61959605f7486538fd0311f4\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 20 --cpu-load 40\" enterNS:true"}
2023-03-17T15:12:50.068Z	INFO	chaos-daemon.daemon-server.background-process-manager.process-builder	chaosdaemon/stress_server_linux.go:39	build command	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5005/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 20 --cpu-load 40"}
2023-03-17T15:12:50.072Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	Start stress-ng successfully	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58", "command": "/usr/local/bin/pause /usr/local/bin/nsexec -p /proc/5005/ns/pid -- stress-ng --cpu-load-slice 10 --cpu-method sqrt --cpu 20 --cpu-load 40", "pid": 24871, "uid": "3f15a9a3-707b-4d92-b591-2ea2bfe5bf7f"}
2023-03-17T15:12:50.098Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	send signal to resume process	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58"}
2023-03-17T15:12:50.099Z	INFO	chaos-daemon.daemon-server	pb/chaosdaemon.pb.go:4322	pause has been resumed	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58", "comm": "nsexec\n"}
2023-03-17T15:12:50.109Z	INFO	chaos-daemon.daemon-server	chaosdaemon/server.go:187	Executing stressors	{"namespacedName": "robot-shop/e-1-ggm7z-lcg58", "request": "target:\"containerd://906e8237f85568e8a2b3d973bbe2cc73e5b9ce73615563a60e62ac678ef7ebf2\" cpuStressors:\" --cpu-load-slice 10 --cpu-method sqrt --cpu 20 --cpu-load 40\" enterNS:true"}
